Using device: cuda | QUICK_TEST=False

=== nodelay: 15 checkpoints ===
run_tag                                       sp/neu  sp/act  silent   COUNT   IDENT    FULL    SHUF  TIMING   frac
sparse_whole_nodelay_tgt3_str0.01_seed42        6.50    9.74  33.24%   0.762   0.458   0.856   0.667  +0.189   0.23
sparse_whole_nodelay_tgt3_str0.01_seed43        7.85   11.49  31.67%   0.774   0.460   0.868   0.671  +0.197   0.24
sparse_whole_nodelay_tgt3_str0.01_seed44        6.80   10.50  35.27%   0.764   0.452   0.861   0.669  +0.192   0.24
sparse_whole_nodelay_tgt3_str0.5_seed42         4.31    6.89  37.45%   0.754   0.456   0.853   0.691  +0.162   0.20
sparse_whole_nodelay_tgt3_str0.5_seed43         4.71    8.01  41.15%   0.761   0.508   0.849   0.669  +0.180   0.23
sparse_whole_nodelay_tgt3_str0.5_seed44         3.99    6.23  35.95%   0.763   0.459   0.857   0.676  +0.181   0.22
sparse_whole_nodelay_tgt3_str1_seed42           2.91    5.39  45.99%   0.760   0.443   0.844   0.677  +0.168   0.21
sparse_whole_nodelay_tgt3_str1_seed43           3.36    6.46  47.88%   0.737   0.463   0.856   0.669  +0.187   0.23
sparse_whole_nodelay_tgt3_str1_seed44           3.17    5.95  46.83%   0.754   0.485   0.842   0.670  +0.172   0.22
sparse_whole_nodelay_tgt3_str3_seed42           2.04    4.24  51.83%   0.728   0.511   0.835   0.652  +0.183   0.23
sparse_whole_nodelay_tgt3_str3_seed43           1.72    3.60  52.25%   0.733   0.501   0.842   0.653  +0.188   0.24
sparse_whole_nodelay_tgt3_str3_seed44           1.82    3.84  52.51%   0.723   0.516   0.833   0.655  +0.178   0.23
sparse_whole_nodelay_tgt3_str10_seed42          1.42    3.12  54.43%   0.705   0.530   0.822   0.635  +0.187   0.24
sparse_whole_nodelay_tgt3_str10_seed43          1.38    3.23  57.27%   0.725   0.542   0.832   0.651  +0.181   0.23
sparse_whole_nodelay_tgt3_str10_seed44          1.21    3.06  60.52%   0.711   0.513   0.816   0.631  +0.185   0.24
Written to D:\IC_2025\IRP\workspace\my_project\exp_sparse_network\v3_analysis\log\hidden_channel_decode_nodelay.json

=== delay: 12 checkpoints ===
run_tag                                       sp/neu  sp/act  silent   COUNT   IDENT    FULL    SHUF  TIMING   frac
sparse_whole_delay_tgt3_str0.01_seed42         11.66   15.47  24.62%   0.779   0.339   0.872   0.679  +0.193   0.23
sparse_whole_delay_tgt3_str0.01_seed43          8.30   13.55  38.73%   0.776   0.317   0.869   0.661  +0.208   0.25
sparse_whole_delay_tgt3_str0.01_seed44          9.41   13.87  32.19%   0.778   0.321   0.856   0.680  +0.176   0.22
sparse_whole_delay_tgt3_str1_seed42             4.80    8.38  42.74%   0.785   0.394   0.854   0.703  +0.151   0.19
sparse_whole_delay_tgt3_str1_seed43             4.98    9.41  47.11%   0.772   0.325   0.863   0.665  +0.198   0.24
sparse_whole_delay_tgt3_str1_seed44             4.79    8.61  44.32%   0.785   0.389   0.880   0.661  +0.219   0.26
sparse_whole_delay_tgt3_str3_seed42             3.01    6.15  51.10%   0.746   0.411   0.857   0.651  +0.206   0.25
sparse_whole_delay_tgt3_str3_seed43             2.78    6.20  55.10%   0.770   0.383   0.864   0.662  +0.202   0.25
sparse_whole_delay_tgt3_str3_seed44             3.21    5.52  41.81%   0.770   0.422   0.868   0.661  +0.207   0.25
sparse_whole_delay_tgt3_str10_seed42            2.12    4.10  48.44%   0.741   0.502   0.865   0.663  +0.202   0.25
sparse_whole_delay_tgt3_str10_seed43            2.21    4.52  51.05%   0.760   0.488   0.863   0.662  +0.201   0.25
sparse_whole_delay_tgt3_str10_seed44            2.48    3.82  34.90%   0.727   0.534   0.844   0.674  +0.170   0.21
Written to D:\IC_2025\IRP\workspace\my_project\exp_sparse_network\v3_analysis\log\hidden_channel_decode_delay.json
