D:\IC_2025\IRP\workspace\venv\Lib\site-packages\torch\nn\utils\weight_norm.py:143: FutureWarning: `torch.nn.utils.weight_norm` is deprecated in favor of `torch.nn.utils.parametrizations.weight_norm`.
  WeightNorm.apply(module, name, dim)
Using device: cuda
relocation f=1 over [0,88) | deletion p_d=0.8 | 3 repeats

=== delay: 24 checkpoints ===
run_tag                                      clean   reloc     del   usage  control
sparse_whole_delay_v3_k1_floor0_seed42       0.746   0.406   0.291   0.489    0.654
sparse_whole_delay_v3_k1_floor0_seed43       0.793   0.395   0.271   0.535    0.702
sparse_whole_delay_v3_k1_floor0_seed44       0.786   0.383   0.313   0.548    0.642
sparse_whole_delay_v3_k1_floor1_seed42       0.786   0.389   0.335   0.540    0.613
sparse_whole_delay_v3_k1_floor1_seed43       0.707   0.405   0.323   0.459    0.585
sparse_whole_delay_v3_k1_floor1_seed44       0.776   0.412   0.290   0.501    0.669
sparse_whole_delay_v3_k2_floor0_seed42       0.786   0.386   0.289   0.544    0.676
sparse_whole_delay_v3_k2_floor0_seed43       0.800   0.398   0.285   0.535    0.686
sparse_whole_delay_v3_k2_floor0_seed44       0.779   0.422   0.294   0.489    0.665
sparse_whole_delay_v3_k2_floor1_seed42       0.780   0.434   0.269   0.474    0.700
sparse_whole_delay_v3_k2_floor1_seed43       0.803   0.409   0.306   0.523    0.660
sparse_whole_delay_v3_k2_floor1_seed44       0.801   0.379   0.256   0.561    0.726
sparse_whole_delay_v3_k4_floor0_seed42       0.799   0.404   0.256   0.527    0.725
sparse_whole_delay_v3_k4_floor0_seed43       0.806   0.403   0.291   0.533    0.681
sparse_whole_delay_v3_k4_floor0_seed44       0.816   0.425   0.282   0.511    0.697
sparse_whole_delay_v3_k4_floor1_seed42       0.814   0.377   0.306   0.572    0.665
sparse_whole_delay_v3_k4_floor1_seed43       0.834   0.399   0.294   0.555    0.688
sparse_whole_delay_v3_k4_floor1_seed44       0.823   0.385   0.268   0.566    0.718
sparse_whole_delay_v3_k8_floor0_seed42       0.835   0.351   0.288   0.617    0.696
sparse_whole_delay_v3_k8_floor0_seed43       0.822   0.393   0.253   0.556    0.737
sparse_whole_delay_v3_k8_floor0_seed44       0.839   0.350   0.268   0.619    0.724
sparse_whole_delay_v3_k8_floor1_seed42       0.831   0.300   0.270   0.680    0.719
sparse_whole_delay_v3_k8_floor1_seed43       0.859   0.371   0.341   0.603    0.640
sparse_whole_delay_v3_k8_floor1_seed44       0.844   0.389   0.366   0.573    0.602
Written to D:\IC_2025\IRP\workspace\my_project\exp_sparse_network\v3_analysis\log\phase1_measure_delay.json

=== nodelay: 24 checkpoints ===
run_tag                                      clean   reloc     del   usage  control
sparse_whole_nodelay_v3_k1_floor0_seed42     0.465   0.381   0.244   0.201    0.532
sparse_whole_nodelay_v3_k1_floor0_seed43     0.488   0.381   0.260   0.246    0.521
sparse_whole_nodelay_v3_k1_floor0_seed44     0.479   0.368   0.250   0.258    0.533
sparse_whole_nodelay_v3_k1_floor1_seed42     0.512   0.382   0.238   0.282    0.593
sparse_whole_nodelay_v3_k1_floor1_seed43     0.499   0.379   0.234   0.267    0.589
sparse_whole_nodelay_v3_k1_floor1_seed44     0.550   0.397   0.251   0.306    0.598
sparse_whole_nodelay_v3_k2_floor0_seed42     0.502   0.393   0.251   0.241    0.556
sparse_whole_nodelay_v3_k2_floor0_seed43     0.504   0.389   0.240   0.253    0.582
sparse_whole_nodelay_v3_k2_floor0_seed44     0.491   0.418   0.271   0.167    0.499
sparse_whole_nodelay_v3_k2_floor1_seed42     0.523   0.384   0.239   0.295    0.601
sparse_whole_nodelay_v3_k2_floor1_seed43     0.541   0.372   0.228   0.345    0.638
sparse_whole_nodelay_v3_k2_floor1_seed44     0.528   0.373   0.232   0.324    0.620
sparse_whole_nodelay_v3_k4_floor0_seed42     0.485   0.413   0.272   0.166    0.490
sparse_whole_nodelay_v3_k4_floor0_seed43     0.497   0.396   0.261   0.227    0.529
sparse_whole_nodelay_v3_k4_floor0_seed44     0.487   0.410   0.265   0.177    0.509
sparse_whole_nodelay_v3_k4_floor1_seed42     0.549   0.361   0.237   0.377    0.625
sparse_whole_nodelay_v3_k4_floor1_seed43     0.543   0.380   0.247   0.331    0.600
sparse_whole_nodelay_v3_k4_floor1_seed44     0.522   0.358   0.242   0.347    0.593
sparse_whole_nodelay_v3_k8_floor0_seed42     0.540   0.405   0.272   0.275    0.547
sparse_whole_nodelay_v3_k8_floor0_seed43     0.531   0.371   0.266   0.332    0.551
sparse_whole_nodelay_v3_k8_floor0_seed44     0.532   0.356   0.246   0.364    0.592
sparse_whole_nodelay_v3_k8_floor1_seed42     0.534   0.273   0.246   0.539    0.594
sparse_whole_nodelay_v3_k8_floor1_seed43     0.544   0.283   0.248   0.530    0.599
sparse_whole_nodelay_v3_k8_floor1_seed44     0.546   0.338   0.222   0.419    0.653
Written to D:\IC_2025\IRP\workspace\my_project\exp_sparse_network\v3_analysis\log\phase1_measure_nodelay.json
